年,生产厂家,新编码,新名称,新规格型号,客户名称,销售数量,销售含税总价,采购含税总价,采购含税单价,销售含税单价,返利金额,总毛利,大类,地区,毛利率
2018年,乐普(北京)医疗器械股份有限公司,14009566,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4015,昆明医科大学第二附属医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009566,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4015,昆明医科大学第一附属医院,4,48000,17848,4462,12000,,30152,支架,云南,62.82%
2018年,乐普(北京)医疗器械股份有限公司,14009566,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4015,昆明医科大学第一附属医院呈贡医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009566,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4015,曲靖市第一人民医院,8,93000,35696,4462,11625,,57304,支架,云南,61.62%
2018年,乐普(北京)医疗器械股份有限公司,14009567,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4018,大理白族自治州人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009567,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4018,大理市第一人民医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009567,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4018,德宏州人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009567,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4018,国药控股红河有限公司,2,19090,8924,4462,9545,,10166,支架,云南,53.25%
2018年,乐普(北京)医疗器械股份有限公司,14009567,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4018,昆明市第一人民医院,7,80500,31234,4462,11500,,49266,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009567,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4018,昆明市延安医院,9,104300,40158,4462,11588.89,,64142,支架,云南,61.50%
2018年,乐普(北京)医疗器械股份有限公司,14009567,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4018,昆明医科大学第二附属医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009567,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4018,昆明医科大学第一附属医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009567,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4018,昆明医科大学第一附属医院呈贡医院,1,23000,4462,4462,23000,,18538,支架,云南,80.60%
2018年,乐普(北京)医疗器械股份有限公司,14009567,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4018,普洱市人民医院,1,11607.67,4462,4462,11607.67,,7145.67,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009567,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4018,曲靖市第一人民医院,13,149499.87,58006,4462,11499.99,,91493.87,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009568,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4021,昆明市第一人民医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009568,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4021,昆明市延安医院,5,57800,22310,4462,11560,,35490,支架,云南,61.40%
2018年,乐普(北京)医疗器械股份有限公司,14009569,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4024,大理白族自治州人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009569,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4024,大理市第二人民医院,1,11613.44,4462,4462,11613.44,,7151.44,支架,云南,61.58%
2018年,乐普(北京)医疗器械股份有限公司,14009569,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4024,德宏州人民医院,3,34600,13386,4462,11533.33,,21214,支架,云南,61.31%
2018年,乐普(北京)医疗器械股份有限公司,14009569,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4024,国药控股红河有限公司,5,50861.68,22310,4462,10172.34,,28551.68,支架,云南,56.14%
2018年,乐普(北京)医疗器械股份有限公司,14009569,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4024,昆明市第一人民医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009569,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4024,昆明市延安医院,7,81200,31234,4462,11600,,49966,支架,云南,61.53%
2018年,乐普(北京)医疗器械股份有限公司,14009569,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4024,昆明医科大学第二附属医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009569,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4024,昆明医科大学第一附属医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009569,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4024,普洱市人民医院,3,34823.01,13386,4462,11607.67,,21437.01,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009569,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4024,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009569,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4024,曲靖市第一人民医院,13,150781.93,58006,4462,11598.61,,92775.93,支架,云南,61.53%
2018年,乐普(北京)医疗器械股份有限公司,14009570,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4029,德宏州人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009570,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4029,国药控股红河有限公司,4,39748.34,17848,4462,9937.09,,21900.34,支架,云南,55.10%
2018年,乐普(北京)医疗器械股份有限公司,14009570,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4029,昆明市第一人民医院,9,103500,40158,4462,11500,,63342,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009570,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4029,昆明市延安医院,5,57900,22310,4462,11580,,35590,支架,云南,61.47%
2018年,乐普(北京)医疗器械股份有限公司,14009570,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4029,昆明医科大学第一附属医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009570,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4029,普洱市人民医院,1,11607.67,4462,4462,11607.67,,7145.67,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009570,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4029,曲靖市第一人民医院,11,126500,49082,4462,11500,,77418,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009571,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2518,大理白族自治州人民医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009571,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2518,德宏州人民医院,2,23100,8924,4462,11550,,14176,支架,云南,61.37%
2018年,乐普(北京)医疗器械股份有限公司,14009571,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2518,国药控股红河有限公司,2,19090,8924,4462,9545,,10166,支架,云南,53.25%
2018年,乐普(北京)医疗器械股份有限公司,14009571,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2518,红河哈尼族彝族自治州第三人民医院,1,11613.44,4462,4462,11613.44,,7151.44,支架,云南,61.58%
2018年,乐普(北京)医疗器械股份有限公司,14009571,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2518,昆明市第一人民医院,12,138000,53544,4462,11500,,84456,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009571,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2518,昆明市延安医院,11,127400,49082,4462,11581.82,,78318,支架,云南,61.47%
2018年,乐普(北京)医疗器械股份有限公司,14009571,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2518,昆明医科大学第二附属医院,5,57500,22310,4462,11500,,35190,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009571,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2518,昆明医科大学第一附属医院,12,142000,53544,4462,11833.33,,88456,支架,云南,62.29%
2018年,乐普(北京)医疗器械股份有限公司,14009571,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2518,普洱市人民医院,3,34823.01,13386,4462,11607.67,,21437.01,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009571,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2518,曲靖市第一人民医院,25,288500,111550,4462,11540,,176950,支架,云南,61.33%
2018年,乐普(北京)医疗器械股份有限公司,14009571,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2518,文山市人民医院,1,11607.67,4462,4462,11607.67,,7145.67,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009571,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2518,云南省第一人民医院,3,34823.01,13386,4462,11607.67,,21437.01,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009572,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4033,昆明市第一人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009573,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4036,大理市第一人民医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009573,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4036,国药控股红河有限公司,2,20658.2,8924,4462,10329.1,,11734.2,支架,云南,56.80%
2018年,乐普(北京)医疗器械股份有限公司,14009573,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4036,昆明市第一人民医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009573,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4036,昆明市延安医院,10,115700,44620,4462,11570,,71080,支架,云南,61.43%
2018年,乐普(北京)医疗器械股份有限公司,14009573,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4036,昆明医科大学第二附属医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009573,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4036,普洱市人民医院,1,11607.67,4462,4462,11607.67,,7145.67,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009573,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4036,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009573,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS4036,曲靖市第一人民医院,13,149500,58006,4462,11500,,91494,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009574,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2521,昆明市第一人民医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009574,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2521,昆明市延安医院,4,46200,17848,4462,11550,,28352,支架,云南,61.37%
2018年,乐普(北京)医疗器械股份有限公司,14009575,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2524,大理白族自治州人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009575,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2524,大理市第二人民医院,1,11613.44,4462,4462,11613.44,,7151.44,支架,云南,61.58%
2018年,乐普(北京)医疗器械股份有限公司,14009575,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2524,德宏州人民医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009575,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2524,国药控股红河有限公司,2,19090,8924,4462,9545,,10166,支架,云南,53.25%
2018年,乐普(北京)医疗器械股份有限公司,14009575,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2524,红河哈尼族彝族自治州第三人民医院,1,11613.44,4462,4462,11613.44,,7151.44,支架,云南,61.58%
2018年,乐普(北京)医疗器械股份有限公司,14009575,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2524,昆明市第一人民医院,9,103500,40158,4462,11500,,63342,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009575,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2524,昆明市延安医院,14,162099.97,62468,4462,11578.57,,99631.97,支架,云南,61.46%
2018年,乐普(北京)医疗器械股份有限公司,14009575,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2524,昆明医科大学第二附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009575,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2524,昆明医科大学第一附属医院,11,128700,49082,4462,11700,,79618,支架,云南,61.86%
2018年,乐普(北京)医疗器械股份有限公司,14009575,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2524,昆明医科大学第一附属医院呈贡医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009575,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2524,普洱市人民医院,6,69646.02,26772,4462,11607.67,,42874.02,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009575,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2524,曲靖市第一人民医院,46,535000,205252,4462,11630.43,,329748,支架,云南,61.64%
2018年,乐普(北京)医疗器械股份有限公司,14009576,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2529,大理白族自治州人民医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009576,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2529,德宏州人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009576,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2529,国药控股红河有限公司,2,22226.68,8924,4462,11113.34,,13302.68,支架,云南,59.85%
2018年,乐普(北京)医疗器械股份有限公司,14009576,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2529,昆明市第一人民医院,10,115000,44620,4462,11500,,70380,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009576,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2529,昆明市延安医院,15,173600,66930,4462,11573.33,,106670,支架,云南,61.45%
2018年,乐普(北京)医疗器械股份有限公司,14009576,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2529,昆明医科大学第二附属医院,4,49560,17848,4462,12390,,31712,支架,云南,63.99%
2018年,乐普(北京)医疗器械股份有限公司,14009576,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2529,昆明医科大学第一附属医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009576,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2529,昆明医科大学第一附属医院呈贡医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009576,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2529,普洱市人民医院,10,116076.7,44620,4462,11607.67,,71456.7,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009576,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2529,曲靖市第一人民医院,36,415500,160632,4462,11541.67,,254868,支架,云南,61.34%
2018年,乐普(北京)医疗器械股份有限公司,14009576,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2529,宜良县第一人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009576,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2529,云南省第一人民医院,2,23215.34,8924,4462,11607.67,,14291.34,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009577,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2533,昆明市第一人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,大理白族自治州人民医院,5,57500,22310,4462,11500,,35190,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,大理大学第一附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,大理市第二人民医院,8,92567.2,35696,4462,11570.9,,56871.2,支架,云南,61.44%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,大理市第一人民医院,7,80500,31234,4462,11500,,49266,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,德宏州人民医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,凤庆县人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,国药控股红河有限公司,1,9545,4462,4462,9545,,5083,支架,云南,53.25%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,红河哈尼族彝族自治州第三人民医院,2,23226.88,8924,4462,11613.44,,14302.88,支架,云南,61.58%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,昆明市第一人民医院,30,345000,133860,4462,11500,,211140,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,昆明市延安医院,29,334800,129398,4462,11544.83,,205402,支架,云南,61.35%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,昆明医科大学第二附属医院,12,135140,53544,4462,11261.67,,81596,支架,云南,60.38%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,昆明医科大学第一附属医院,4,48000,17848,4462,12000,,30152,支架,云南,62.82%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,昆明医科大学第一附属医院呈贡医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,普洱市人民医院,6,69646.02,26772,4462,11607.67,,42874.02,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,曲靖市第一人民医院,61,701500,272182,4462,11500,,429318,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,宜良县第一人民医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,云龙县人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,云南省第一人民医院,1,11607.67,4462,4462,11607.67,,7145.67,支架,云南,61.56%
2018年,乐普医学电子仪器股份有限公司,(空白),钴基合金雷帕霉素洗脱支架系统,2.5*12,上海桦溪医疗器械有限公司,1,5500,2778,2778,5500,,2722,支架,云南,49.49%
2018年,乐普医学电子仪器股份有限公司,(空白),钴基合金雷帕霉素洗脱支架系统,3.0*36,上海桦溪医疗器械有限公司,1,5500,2778,2778,5500,,2722,支架,云南,49.49%
2018年,乐普医学电子仪器股份有限公司,(空白),乐普药物支架,LPRP2536(2.5*36),大理白族自治州人民医院,3,21297,13500,4500,7099,,7797,支架,云南,36.61%
2018年,乐普医学电子仪器股份有限公司,(空白),乐普药物支架,LPRP2736(2.75*36),大理白族自治州人民医院,2,15598,9000,4500,7799,,6598,支架,云南,42.30%
2018年,乐普医学电子仪器股份有限公司,(空白),血管内无载体含药（雷帕霉素）洗脱支架系统（商品名：NANO）,LPRPS3036（3.0*36）,上海桦溪医疗器械有限公司,1,6380,4462,4462,6380,,1918,支架,云南,30.06%
2018年,乐普医学电子仪器股份有限公司,(空白),血管内无载体含药（雷帕霉素）洗脱支架系统（商品名：NANO）,LPRPS3529（3.5*29）,上海桦溪医疗器械有限公司,1,6380,4462,4462,6380,,1918,支架,云南,30.06%
2018年,雅培心血管Abbott Vascular,10057086,药物洗脱冠脉支架系统,1011709-18,云南省第一人民医院,4,58700,43343.04,10835.76,14675,4402.54,19759.5,支架,云南,33.66%
2018年,雅培心血管Abbott Vascular,10057091,药物洗脱冠脉支架系统,1011708-33,云南省第一人民医院,2,30800,21671.52,10835.76,15400,2310.02,11438.5,支架,云南,37.14%
2018年,雅培心血管Abbott Vascular,10057094,药物洗脱冠脉支架系统,1011710-28,曲靖市第二人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10057095,药物洗脱冠脉支架系统,1011711-12,云南省第一人民医院,1,13800,9430.65,9430.651429,13800,1035.01,5404.36,支架,云南,39.16%
2018年,雅培心血管Abbott Vascular,10351093,药物洗脱冠脉支架系统,1011706-18,云南省第一人民医院,3,41400,33034.2,11011.39857,13800,3105.03,11470.83,支架,云南,27.71%
2018年,雅培心血管Abbott Vascular,10351094,药物洗脱冠脉支架系统,1011706-23,云南省第一人民医院,2,27600,21671.52,10835.76,13800,2070.02,7998.5,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351095,药物洗脱冠脉支架系统,1011706-28,云南省第一人民医院,1,11607.67,11100.46,11100.45622,11607.67,870.58,1377.8,支架,云南,11.87%
2018年,雅培心血管Abbott Vascular,10351096,药物洗脱冠脉支架系统,1011707-38,云南省第一人民医院,1,13800,10974.29,10974.29183,13800,1035.01,3860.72,支架,云南,27.98%
2018年,雅培心血管Abbott Vascular,10351098,药物洗脱冠脉支架系统,1011709-38,云南省第一人民医院,1,13800,10835.63,10835.62792,13800,1035.01,3999.38,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351100,药物洗脱冠脉支架系统,1011710-38,云南省第一人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351104,药物洗脱冠脉支架系统,1011707-12,云南省第一人民医院,2,27600,21671.52,10835.76,13800,2070.02,7998.5,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351106,药物洗脱冠脉支架系统,1011707-18,云南省第一人民医院,4,64615.34,44198.32,11049.58087,16153.84,4846.2,25263.21,支架,云南,39.10%
2018年,雅培心血管Abbott Vascular,10351107,药物洗脱冠脉支架系统,1011707-23,云南省第一人民医院,1,13800,11187.04,11187.03714,13800,1035.01,3647.97,支架,云南,26.43%
2018年,雅培心血管Abbott Vascular,10351112,药物洗脱冠脉支架系统,1011708-18,云南省第一人民医院,2,31100,21671.52,10835.76,15550,2332.52,11761,支架,云南,37.82%
2018年,雅培心血管Abbott Vascular,10351113,药物洗脱冠脉支架系统,1011708-23,云南省第一人民医院,1,17300,10835.76,10835.76,17300,1297.51,7761.75,支架,云南,44.87%
2018年,雅培心血管Abbott Vascular,10351114,药物洗脱冠脉支架系统,1011708-28,云南省第一人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351116,药物洗脱冠脉支架系统,1011709-12,云南省第一人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351118,药物洗脱冠脉支架系统,1011709-23,云南省第一人民医院,4,55200,44342.34,11085.58581,13800,4140.04,14997.7,支架,云南,27.17%
2018年,雅培心血管Abbott Vascular,10351119,药物洗脱冠脉支架系统,1011709-28,云南省第一人民医院,1,16500,10835.76,10835.76,16500,1237.51,6901.75,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,10351123,药物洗脱冠脉支架系统,1011710-18,云南省第一人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351124,药物洗脱冠脉支架系统,1011710-23,云南省第一人民医院,1,13800,11024.91,11024.90923,13800,1035.01,3810.1,支架,云南,27.61%
2018年,雅培心血管Abbott Vascular,11794549,药物洗脱冠脉支架系统,1011708-38,云南省第一人民医院,2,27600,21671.52,10835.76,13800,2070.02,7998.5,支架,云南,28.98%
2018年,乐普(北京)医疗器械股份有限公司,12903359,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2512,云南省第一人民医院,1,11607.67,4462,4462,11607.67,,7145.67,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009538,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2712,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009538,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2712,云南省第一人民医院,2,23215.34,8924,4462,11607.67,,14291.34,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009539,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2715,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009540,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2718,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009540,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2718,云南省第一人民医院,1,11607.67,4462,4462,11607.67,,7145.67,支架,云南,61.56%
